Estudiante_ID,Edad,Horas_de_estudio,Nota_Matemáticas,Nota_Lenguaje,Nota_Ciencias,Genero,Comuna
1,19,38,23,53,26,prefiero no decirlo,Penco
2,18,11,83,22,21,femenino,Penco
3,18,38,55,96,12,prefiero no decirlo,San Pedro
4,20,23,32,46,79,prefiero no decirlo,Lota
5,25,20,17,35,56,masculino,Hualpén
6,23,36,8,53,56,masculino,San Pedro
7,25,28,66,53,53,femenino,Arauco
8,25,20,62,68,54,masculino,Arauco
9,20,26,98,5,60,prefiero no decirlo,Tomé
10,24,6,37,25,52,femenino,Concepción
11,22,38,55,88,65,femenino,Coronel
12,24,27,40,90,7,masculino,Coronel
13,20,12,99,92,17,prefiero no decirlo,San Pedro
14,25,24,88,23,100,femenino,San Pedro
15,19,27,49,56,87,femenino,San Pedro
16,21,33,67,11,49,masculino,Penco
17,21,14,61,34,23,prefiero no decirlo,Lota
18,24,20,73,24,66,femenino,Arauco
19,18,23,82,67,1,masculino,Lota
20,21,33,67,32,24,masculino,Hualpén
21,25,21,22,35,13,femenino,San Pedro
22,19,18,33,74,39,prefiero no decirlo,Hualpén
23,23,32,44,83,1,femenino,Concepción
24,22,28,70,38,37,femenino,Tomé
25,19,33,44,39,88,prefiero no decirlo,Arauco
26,18,20,49,49,95,femenino,Concepción
27,22,18,44,2,83,prefiero no decirlo,Concepción
28,21,14,85,93,36,masculino,Lota
29,24,13,38,90,4,femenino,Arauco
30,23,10,99,16,44,masculino,San Pedro
31,25,17,16,12,65,femenino,Lota
32,24,8,15,70,73,prefiero no decirlo,Hualpén
33,20,32,73,1,36,femenino,Hualpén
34,24,26,14,63,14,prefiero no decirlo,San Pedro
35,18,23,60,20,53,prefiero no decirlo,Arauco
36,24,20,88,65,100,femenino,Coronel
37,19,26,29,62,7,prefiero no decirlo,Tomé
38,24,9,34,45,69,femenino,San Pedro
39,24,25,42,2,65,masculino,Lota
40,20,9,97,90,37,femenino,Arauco
41,25,26,6,66,27,femenino,Tomé
42,22,6,77,10,14,femenino,Arauco
43,21,31,22,5,31,femenino,Arauco
44,19,17,31,63,2,femenino,Hualpén
45,21,33,92,65,54,masculino,Hualpén
46,18,35,1,52,60,femenino,Concepción
47,20,27,85,5,35,masculino,Concepción
48,25,17,7,18,86,prefiero no decirlo,Tomé
49,18,18,61,58,10,masculino,Lota
50,25,20,93,1,55,femenino,Hualpén
51,25,14,75,2,4,femenino,Tomé
52,23,39,60,49,7,masculino,Concepción
53,25,12,16,3,31,prefiero no decirlo,Tomé
54,24,37,27,8,39,prefiero no decirlo,Coronel
55,24,9,45,49,55,femenino,Lota
56,18,15,88,76,9,femenino,San Pedro
57,19,36,69,10,73,femenino,Penco
58,24,31,94,37,4,femenino,San Pedro
59,23,9,32,88,75,femenino,Tomé
60,18,25,6,53,46,femenino,Tomé
61,22,9,18,86,35,prefiero no decirlo,Coronel
62,22,8,63,10,73,prefiero no decirlo,Hualpén
63,18,19,59,82,85,prefiero no decirlo,San Pedro
64,23,38,88,11,41,masculino,Tomé
65,20,39,81,30,61,femenino,Arauco
66,24,5,82,96,30,femenino,Coronel
67,24,39,20,27,49,prefiero no decirlo,Tomé
68,18,8,31,100,9,femenino,Arauco
69,19,18,38,75,57,masculino,Arauco
70,23,30,10,57,77,prefiero no decirlo,Arauco
71,21,28,87,49,23,femenino,Hualpén
72,21,7,95,10,32,masculino,Tomé
73,25,30,60,59,82,femenino,Lota
74,20,22,23,89,85,masculino,Concepción
75,20,33,99,3,60,prefiero no decirlo,Tomé
76,22,16,70,36,4,prefiero no decirlo,Hualpén
77,22,6,62,19,4,masculino,San Pedro
78,18,36,6,70,34,femenino,Concepción
79,24,14,49,96,58,masculino,Penco
80,19,16,74,61,12,masculino,Arauco
81,21,17,80,97,75,femenino,Lota
82,24,20,32,29,10,femenino,Concepción
83,22,11,19,89,7,prefiero no decirlo,Hualpén
84,19,8,88,95,67,masculino,Arauco
85,20,13,25,57,4,femenino,Lota
86,19,12,83,98,68,prefiero no decirlo,Arauco
87,24,23,31,71,9,femenino,Hualpén
88,18,37,42,87,83,prefiero no decirlo,Penco
89,25,25,46,19,30,masculino,Arauco
90,21,29,19,1,46,prefiero no decirlo,Tomé
91,22,7,92,22,40,masculino,San Pedro
92,24,14,52,24,29,prefiero no decirlo,Hualpén
93,18,33,11,6,61,femenino,Concepción
94,18,18,75,40,43,prefiero no decirlo,Tomé
95,24,34,34,30,60,femenino,Arauco
96,25,22,85,17,5,masculino,San Pedro
97,23,22,54,25,68,femenino,Concepción
98,19,17,32,41,52,prefiero no decirlo,Tomé
99,24,18,40,1,88,masculino,Lota
100,20,13,41,70,99,prefiero no decirlo,Lota
101,18,16,59,57,46,masculino,Lota
102,22,37,57,38,39,prefiero no decirlo,Concepción
103,21,5,10,84,98,prefiero no decirlo,Hualpén
104,22,26,16,50,8,prefiero no decirlo,Penco
105,21,36,97,75,82,prefiero no decirlo,Concepción
106,19,9,29,28,88,masculino,Penco
107,19,22,72,98,14,femenino,Penco
108,25,9,15,93,57,prefiero no decirlo,Penco
109,24,34,55,87,49,prefiero no decirlo,Tomé
110,23,8,58,36,32,femenino,Tomé
111,24,12,31,86,46,masculino,Tomé
112,20,22,34,41,83,prefiero no decirlo,Lota
113,24,12,62,86,42,prefiero no decirlo,Penco
114,18,31,50,71,17,prefiero no decirlo,Penco
115,20,35,89,83,31,prefiero no decirlo,Penco
116,22,32,41,8,41,femenino,San Pedro
117,25,20,28,90,94,femenino,Tomé
118,21,33,49,9,55,femenino,Tomé
119,21,8,29,36,53,masculino,Coronel
120,22,29,68,87,35,prefiero no decirlo,Arauco
121,20,11,74,80,15,femenino,Arauco
122,23,29,32,66,63,prefiero no decirlo,Tomé
123,25,19,1,10,89,prefiero no decirlo,Tomé
124,25,6,3,58,76,femenino,Tomé
125,22,22,43,24,51,femenino,San Pedro
126,18,13,92,51,62,prefiero no decirlo,Lota
127,20,24,31,20,14,femenino,Hualpén
128,18,37,33,26,39,prefiero no decirlo,Arauco
129,25,30,93,92,69,femenino,Penco
130,22,5,99,71,55,masculino,San Pedro
131,19,8,6,90,100,femenino,Concepción
132,24,13,21,49,62,femenino,Lota
133,24,37,19,80,13,femenino,Concepción
134,21,38,2,14,10,masculino,Arauco
135,20,15,30,26,79,femenino,Tomé
136,25,7,97,46,58,masculino,Hualpén
137,19,5,72,16,75,prefiero no decirlo,Concepción
138,18,14,74,13,70,masculino,Arauco
139,23,32,85,6,84,masculino,Arauco
140,22,29,46,21,48,masculino,Hualpén
141,22,26,67,82,4,prefiero no decirlo,Concepción
142,23,33,96,60,66,masculino,Tomé
143,18,25,98,35,47,femenino,San Pedro
144,21,9,44,94,66,femenino,Penco
145,18,34,100,97,68,masculino,Arauco
146,18,32,4,18,86,prefiero no decirlo,Arauco
147,23,34,85,72,8,femenino,San Pedro
148,22,7,37,72,9,femenino,Concepción
149,24,24,17,90,62,prefiero no decirlo,Arauco
150,19,18,37,58,10,prefiero no decirlo,Coronel
151,18,15,47,72,28,prefiero no decirlo,Arauco
152,20,31,69,22,69,prefiero no decirlo,Hualpén
153,23,34,40,62,21,prefiero no decirlo,Hualpén
